frame_num,timestamp (sec),track_2_right_ankle.x,track_2_right_ankle.y,track_2_right_ankle.z,track_2_right_knee.x,track_2_right_knee.y,track_2_right_knee.z,track_2_right_hip.x,track_2_right_hip.y,track_2_right_hip.z,track_2_right_wrist.x,track_2_right_wrist.y,track_2_right_wrist.z,track_2_right_elbow.x,track_2_right_elbow.y,track_2_right_elbow.z,track_2_right_shoulder.x,track_2_right_shoulder.y,track_2_right_shoulder.z,track_2_left_ankle.x,track_2_left_ankle.y,track_2_left_ankle.z,track_2_left_knee.x,track_2_left_knee.y,track_2_left_knee.z,track_2_left_hip.x,track_2_left_hip.y,track_2_left_hip.z,track_2_left_wrist.x,track_2_left_wrist.y,track_2_left_wrist.z,track_2_left_elbow.x,track_2_left_elbow.y,track_2_left_elbow.z,track_2_left_shoulder.x,track_2_left_shoulder.y,track_2_left_shoulder.z,track_2_head_top.x,track_2_head_top.y,track_2_head_top.z,track_2_head.x,track_2_head.y,track_2_head.z,track_2_neck.x,track_2_neck.y,track_2_neck.z,track_2_spine.x,track_2_spine.y,track_2_spine.z,track_2_pelvis.x,track_2_pelvis.y,track_2_pelvis.z,track_2_right_toe_base.x,track_2_right_toe_base.y,track_2_right_toe_base.z,track_2_right_heel.x,track_2_right_heel.y,track_2_right_heel.z,track_2_left_toe_base.x,track_2_left_toe_base.y,track_2_left_toe_base.z,track_2_left_heel.x,track_2_left_heel.y,track_2_left_heel.z
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.04,-1173.7045,1209.5275,6555.921,-1072.4624,815.3708,6590.2866,-1118.5731,397.54993,6599.42,-971.68134,183.08794,6615.752,-1107.9471,161.52017,6433.5093,-1115.2396,-101.5378,6519.685,-1215.7053,1203.3875,6704.1772,-1197.5359,814.35187,6730.3794,-1170.3961,395.32935,6754.7397,-1043.7628,177.37398,6832.023,-1232.3385,136.05054,6899.1177,-1184.7289,-118.06183,6830.5093,-1083.2019,-429.96036,6663.076,-1093.047,-285.79565,6673.1025,-1128.1306,-176.54951,6671.3027,-1165.8989,158.41841,6673.1313,-1165.9584,319.4538,6672.764,-1048.234,1280.7944,6531.8013,-1205.0009,1271.9795,6558.308,-1089.1277,1271.6984,6757.2495,-1235.9131,1265.3691,6688.679
3,0.06,-1172.8674,1209.6412,6556.6895,-1070.6665,815.19116,6590.4473,-1118.436,398.07074,6599.7285,-971.2188,184.64516,6612.056,-1107.5055,163.47298,6431.7485,-1113.1432,-100.42327,6519.0317,-1216.2539,1203.4902,6703.6587,-1195.8965,813.18463,6731.475,-1169.7028,396.18384,6755.032,-1040.334,177.94693,6831.1187,-1233.2478,138.56567,6899.003,-1184.8492,-117.337135,6831.62,-1082.5719,-429.8407,6664.759,-1092.7358,-285.50793,6674.1543,-1127.5092,-175.66838,6672.4067,-1165.0364,159.30273,6673.3843,-1165.3043,320.16373,6673.1133,-1047.3313,1280.7054,6532.7974,-1204.4661,1272.4371,6558.7295,-1088.7576,1272.1279,6756.6167,-1236.183,1266.1111,6688.2827
4,0.08,-1171.899,1209.5653,6557.262,-1068.3932,815.1776,6591.094,-1117.7972,398.4982,6600.5244,-972.31775,186.7422,6609.27,-1107.1659,164.7408,6430.0786,-1111.372,-99.669075,6519.3906,-1216.8875,1203.6261,6703.2617,-1194.7957,812.5739,6732.2153,-1169.4606,396.9936,6755.3477,-1037.5029,178.31516,6831.1616,-1232.8289,139.84987,6899.333,-1184.2024,-116.75834,6832.736,-1081.7194,-429.85907,6666.3516,-1092.1831,-285.28992,6675.3027,-1126.8113,-175.06776,6673.484,-1164.1985,160.01144,6674.028,-1164.6357,320.74365,6673.7363,-1046.5884,1280.5383,6533.675,-1203.7484,1272.5128,6558.939,-1088.7141,1272.2698,6756.1514,-1236.6802,1266.5919,6687.879
5,0.1,-1170.945,1209.171,6557.531,-1065.7151,815.2502,6592.3345,-1116.5933,398.59354,6601.473,-975.55756,188.75589,6607.5273,-1106.9764,164.5887,6429.174,-1110.019,-99.54628,6520.6343,-1217.307,1203.7468,6703.1436,-1194.3423,812.5475,6732.444,-1169.8164,397.3754,6755.635,-1036.2318,178.44179,6831.391,-1230.2804,139.67204,6900.689,-1183.107,-116.492424,6833.6953,-1080.6292,-430.0042,6667.6284,-1091.2809,-285.22577,6676.462,-1125.9701,-174.98607,6674.3223,-1163.6112,160.23497,6674.945,-1164.1423,320.89246,6674.4565,-1046.2733,1280.4033,6534.138,-1203.0731,1272.0614,6558.904,-1089.2397,1272.1091,6756.2896,-1237.1638,1266.7251,6687.6245
6,0.12,-1170.1201,1208.7251,6557.6597,-1063.1066,815.15216,6593.772,-1115.3427,398.2899,6601.8545,-978.458,189.86761,6605.872,-1106.4464,163.73465,6429.4463,-1108.3802,-99.90465,6521.696,-1217.2411,1203.8186,6703.294,-1193.8914,812.5231,6732.383,-1170.2021,397.1389,6755.912,-1035.735,178.68835,6830.613,-1228.1748,139.28575,6902.0337,-1182.6014,-116.48708,6834.483,-1079.4327,-430.11722,6668.5947,-1090.1873,-285.30878,6677.4805,-1124.9092,-175.26358,6674.8447,-1163.2788,159.94258,6675.639,-1163.8561,320.5497,6674.8896,-1046.2445,1280.4655,6534.4316,-1202.6344,1271.6373,6558.8345,-1090.0548,1271.9071,6757.0503,-1237.1238,1266.8604,6687.6777
7,0.14,-1169.4274,1208.3939,6557.733,-1060.9811,814.8467,6595.1274,-1114.3662,397.75098,6601.6743,-979.81885,189.60965,6604.8394,-1104.9479,163.21225,6430.912,-1106.1866,-100.36386,6522.1133,-1216.7175,1203.8928,6703.5293,-1193.2505,812.38367,6732.3066,-1170.1143,396.53436,6756.255,-1035.3353,179.31244,6829.587,-1227.102,139.79784,6903.002,-1182.8295,-116.45511,6835.2026,-1078.2782,-430.14905,6669.4565,-1089.1333,-285.43863,6678.3037,-1123.6597,-175.56468,6675.1885,-1162.966,159.4092,6675.8794,-1163.5502,319.9837,6674.982,-1046.271,1280.7534,6535.111,-1202.3438,1271.6406,6558.7563,-1090.7352,1271.8436,6757.86,-1236.438,1267.1954,6688.0127
8,0.16,-1168.6271,1208.1011,6557.7637,-1059.246,814.51917,6596.4927,-1113.4073,397.25958,6601.696,-976.1124,188.37517,6605.1646,-1102.9991,163.54576,6432.856,-1104.0312,-100.53774,6522.2715,-1216.2445,1203.9652,6703.568,-1192.6226,812.3716,6732.3877,-1169.5552,395.9739,6756.702,-1035.3652,180.09038,6830.23,-1225.8987,141.06975,6903.9873,-1182.9407,-116.18131,6835.982,-1077.1968,-430.1671,6670.54,-1088.1387,-285.48965,6679.0474,-1122.3522,-175.70714,6675.5845,-1162.4423,158.96169,6675.8877,-1162.9451,319.55685,6675.046,-1046.1702,1281.0718,6536.1606,-1201.806,1271.789,6558.619,-1091.0503,1271.94,6757.9204,-1235.7025,1267.5189,6688.298
9,0.18,-1167.3954,1207.6052,6557.8765,-1057.3784,814.24365,6597.9604,-1112.0579,397.01886,6602.442,-973.1998,187.44841,6606.556,-1101.9244,164.4845,6434.089,-1102.7227,-100.22782,6522.4697,-1216.4559,1203.8251,6703.258,-1191.9816,812.3668,6732.705,-1168.7521,395.62177,6757.2573,-1036.3434,180.50273,6833.2373,-1223.6708,142.1958,6905.5166,-1182.0901,-115.80808,6836.9727,-1076.0178,-430.1432,6671.931,-1086.9896,-285.4102,6679.8643,-1121.0573,-175.69443,6676.164,-1161.6249,158.76253,6676.0425,-1161.9575,319.41913,6675.4023,-1045.8823,1281.1416,6536.8574,-1200.5499,1271.5614,6558.6294,-1091.2272,1271.9534,6757.008,-1235.773,1267.3978,6688.1553
